pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
CLV	AUR	LG4	25001	26000	0.0242212832858406	897	986	40708	2348
ARI	AUR	LG4	25001	26000	0.0255741505469825	897	1412	55212	2196
LON	PAR	LG4	26001	27000	0.0189289986630075	926	1076	56844	2420
LON	PUN-Y	LG4	26001	27000	0.0148014236483814	926	1048	70804	3276
LON	PUN-R	LG4	26001	27000	0.0151635394818887	926	1070	70564	3516
LON	GRA	LG4	26001	27000	0.0204018011776931	926	1178	57740	1524
PUN-Y	AUR	LG4	26001	27000	0.0276627559236254	926	1924	69552	4528
PUN-R	GRA	LG4	26001	27000	0.0203551683699112	926	1458	71628	2452
PUN-R	CAL	LG4	26001	27000	0.0090379987688175	926	646	71476	2604
PUN-R	CLV	LG4	26001	27000	0.0209607638370878	926	1124	53624	1936
PUN-R	ARI	LG4	26001	27000	0.0111104844622412	926	788	70924	3156
PUN-R	AUR	LG4	26001	27000	0.0265405031156242	926	1840	69328	4752
GRA	CAL	LG4	26001	27000	0.0202462380300957	926	1184	58480	784
GRA	CLV	LG4	26001	27000	0.0241222070223438	926	1058	43860	588
LON	CAL	LG4	26001	27000	0.0153712699514226	926	886	57640	1624
LON	CLV	LG4	26001	27000	0.0245302230861797	926	1060	43212	1236
LON	ARI	LG4	26001	27000	0.0171774419255527	926	982	57168	2096
LON	AUR	LG4	26001	27000	0.0169576416714367	926	948	55904	3360
CAL	AUR	LG4	26001	27000	0.0252207700459201	926	1428	56620	2644
CLV	ARI	LG4	26001	27000	0.0172223245533247	926	748	43432	1016
CLV	AUR	LG4	26001	27000	0.030911318443125	926	1312	42444	2004
ARI	AUR	LG4	26001	27000	0.0264881800056963	926	1488	56176	3088
GRA	ARI	LG4	26001	27000	0.0177512753343444	926	1030	58024	1240
GRA	AUR	LG4	26001	27000	0.0221454263347203	926	1256	56716	2548
CAL	CLV	LG4	26001	27000	0.0210598446779351	926	922	43780	668
CAL	ARI	LG4	26001	27000	0.0118118394695033	926	684	57908	1356
PUN-Y	GRA	LG4	26001	27000	0.0186731229476262	926	1342	71868	2212
PUN-Y	CAL	LG4	26001	27000	0.007863476660532	926	564	71724	2356
PUN-Y	CLV	LG4	26001	27000	0.0183298631766805	926	986	53792	1768
PUN-Y	ARI	LG4	26001	27000	0.0072235651245151	926	514	71156	2924
PAR	PUN-Y	LG4	26001	27000	0.0088493073225897	926	626	70740	3340
PAR	PUN-R	LG4	26001	27000	0.0124220079410096	926	876	70520	3560
PAR	GRA	LG4	26001	27000	0.0197975175091879	926	1142	57684	1580
PAR	CAL	LG4	26001	27000	0.0130609976379046	926	752	57576	1688
PAR	CLV	LG4	26001	27000	0.0194035380198203	926	838	43188	1260
PAR	ARI	LG4	26001	27000	0.006054455099041	926	346	57148	2116
PAR	AUR	LG4	26001	27000	0.0288006877776185	926	1608	55832	3432
PUN-Y	PUN-R	LG4	26001	27000	0.0063498566161409	926	558	87876	4724
CAL	AUR	LG4	27001	28000	0.0108468638415414	963	644	59372	2260
CLV	ARI	LG4	27001	28000	0.0209961825122704	963	924	44008	2216
CLV	AUR	LG4	27001	28000	0.0199500133892707	963	894	44812	1412
ARI	AUR	LG4	27001	28000	0.0154718239413137	963	928	59980	1652
GRA	ARI	LG4	27001	28000	0.0155183946488294	963	928	59800	1832
GRA	AUR	LG4	27001	28000	0.0116951379763469	963	712	60880	752
CAL	CLV	LG4	27001	28000	0.019013502342243	963	828	43548	2676
CAL	ARI	LG4	27001	28000	0.0113410539299664	963	662	58372	3260
PAR	CLV	LG4	27001	28000	0.0208879645537571	963	924	44236	1988
PAR	ARI	LG4	27001	28000	0.0059499661933739	963	352	59160	2472
PAR	AUR	LG4	27001	28000	0.0154060694601235	963	928	60236	1396
PUN-Y	PUN-R	LG4	27001	28000	0.0052270076461186	963	484	92596	3704
PAR	PUN-Y	LG4	27001	28000	0.0094569035395838	963	700	74020	3020
PAR	PUN-R	LG4	27001	28000	0.0104396491416886	963	776	74332	2708
PAR	GRA	LG4	27001	28000	0.015452244571733	963	928	60056	1576
PAR	CAL	LG4	27001	28000	0.0105809270257355	963	620	58596	3036
PUN-R	ARI	LG4	27001	28000	0.0112156099670288	963	830	74004	3036
PUN-R	AUR	LG4	27001	28000	0.010804927259212	963	814	75336	1704
GRA	CAL	LG4	27001	28000	0.0145916368303722	963	864	59212	2420
GRA	CLV	LG4	27001	28000	0.0190689346463742	963	852	44680	1544
LON	PAR	LG4	27001	28000	0.0126849894291754	963	744	58652	2980
LON	PUN-Y	LG4	27001	28000	0.00825903845102	963	604	73132	3908
LON	PUN-R	LG4	27001	28000	0.0056409417920209	963	414	73392	3648
LON	GRA	LG4	27001	28000	0.0149726849666149	963	888	59308	2324
LON	CAL	LG4	27001	28000	0.0057069728832318	963	330	57824	3808
LON	CLV	LG4	27001	28000	0.0204857928505957	963	894	43640	2584
LON	ARI	LG4	27001	28000	0.0132758502703072	963	776	58452	3180
LON	AUR	LG4	27001	28000	0.009989237185524	963	594	59464	2168
PUN-Y	GRA	LG4	27001	28000	0.0145895681915348	963	1092	74848	2192
PUN-Y	CAL	LG4	27001	28000	0.0053987393806522	963	394	72980	4060
PUN-Y	CLV	LG4	27001	28000	0.0192782457159453	963	1062	55088	2692
PUN-Y	ARI	LG4	27001	28000	0.0096294688873216	963	710	73732	3308
PUN-Y	AUR	LG4	27001	28000	0.0132427391420197	963	994	75060	1980
PUN-R	GRA	LG4	27001	28000	0.0143206984667802	963	1076	75136	1904
PUN-R	CAL	LG4	27001	28000	0.0028930131004366	963	212	73280	3760
PUN-R	CLV	LG4	27001	28000	0.0185493202198437	963	1026	55312	2468
LON	CAL	LG4	28001	29000	0.00496979891429	887	260	52316	4516
LON	CLV	LG4	28001	29000	0.0359516287177252	820	1320	36716	5908
LON	ARI	LG4	28001	29000	0.0185728627693258	873	962	51796	5036
LON	AUR	LG4	28001	29000	0.0098657063545652	887	526	53316	3516
PAR	PUN-Y	LG4	28001	29000	0.0163624294722867	867	986	60260	10780
PAR	PUN-R	LG4	28001	29000	0.0189849386153651	867	1200	63208	7832
PAR	GRA	LG4	28001	29000	0.0223985067662155	845	1152	51432	5400
PAR	CAL	LG4	28001	29000	0.0201369311316955	867	1000	49660	7172
PAR	CLV	LG4	28001	29000	0.0355	817	1278	36000	6624
PAR	ARI	LG4	28001	29000	0.0089121573015746	861	446	50044	6788
PAR	AUR	LG4	28001	29000	0.0254671607663801	867	1292	50732	6100
PUN-Y	PUN-R	LG4	28001	29000	0.0082970338104127	887	640	77136	11664
GRA	ARI	LG4	28001	29000	0.021015692768709	844	1066	50724	6108
GRA	AUR	LG4	28001	29000	0.0288505571668447	856	1512	52408	4424
CAL	CLV	LG4	28001	29000	0.0389551391254968	820	1372	35220	7404
CAL	ARI	LG4	28001	29000	0.0214371738257727	873	1068	49820	7012
CAL	AUR	LG4	28001	29000	0.0126191592436318	887	646	51192	5640
CLV	ARI	LG4	28001	29000	0.034313725490196	815	1232	35904	6720
CLV	AUR	LG4	28001	29000	0.0398534635879218	820	1436	36032	6592
ARI	AUR	LG4	28001	29000	0.0265423809147642	873	1344	50636	6196
PUN-Y	GRA	LG4	28001	29000	0.0244391284670589	856	1512	61868	9172
PUN-Y	CAL	LG4	28001	29000	0.0098499371983869	887	596	60508	10532
PUN-Y	CLV	LG4	28001	29000	0.0373280029750836	820	1606	43024	10256
PUN-Y	ARI	LG4	28001	29000	0.0170465873596065	873	1026	60188	10852
LON	PAR	LG4	28001	29000	0.0172333848531684	867	892	51760	5072
LON	PUN-Y	LG4	28001	29000	0.0063886593350708	887	402	62924	8116
LON	PUN-R	LG4	28001	29000	0.0038332534738859	887	256	66784	4256
LON	GRA	LG4	28001	29000	0.0238774590779396	856	1272	53272	3560
PUN-Y	AUR	LG4	28001	29000	0.0152644542390458	887	942	61712	9328
PUN-R	GRA	LG4	28001	29000	0.0258843036109064	856	1686	65136	5904
PUN-R	CAL	LG4	28001	29000	0.0070369909079586	887	452	64232	6808
PUN-R	CLV	LG4	28001	29000	0.0370618741058655	820	1658	44736	8544
PUN-R	ARI	LG4	28001	29000	0.0201691812385581	873	1278	63364	7676
PUN-R	AUR	LG4	28001	29000	0.0118240146654445	887	774	65460	5580
GRA	CAL	LG4	28001	29000	0.0271500313873195	856	1384	50976	5856
GRA	CLV	LG4	28001	29000	0.0298963447899618	814	1096	36660	5964
PUN-Y	GRA	LG4	29001	30000	0.010148849797023	294	120	11824	49376
PUN-Y	CAL	LG4	29001	30000	0.0150405786873676	765	682	45344	15856
PUN-Y	CLV	LG4	29001	30000	0.06060116354234	613	1500	24752	21148
PUN-Y	ARI	LG4	29001	30000	0.0313638203156616	740	1240	39536	21664
PUN-Y	AUR	LG4	29001	30000	0.0298921112540829	720	1208	40412	20788
PUN-R	GRA	LG4	29001	30000	0.0100855745721271	294	132	13088	48112
PUN-R	CAL	LG4	29001	30000	0.0086967376830892	765	418	48064	13136
PUN-R	CLV	LG4	29001	30000	0.0539291217257318	613	1400	25960	19940
PUN-R	ARI	LG4	29001	30000	0.0376060872110038	740	1542	41004	20196
PUN-R	AUR	LG4	29001	30000	0.0324458440690905	720	1360	41916	19284
GRA	CAL	LG4	29001	30000	0.0133805588351042	294	136	10164	38796
GRA	CLV	LG4	29001	30000	0.0445752733389402	191	212	4756	31964
GRA	ARI	LG4	29001	30000	0.0077054794520547	273	54	7008	41952
GRA	AUR	LG4	29001	30000	0.017146017699115	257	124	7232	41728
CAL	CLV	LG4	29001	30000	0.054316285817918	613	1198	22056	14664
CAL	ARI	LG4	29001	30000	0.0375931098696461	740	1292	34368	14592
CAL	AUR	LG4	29001	30000	0.0324311978988237	720	1136	35028	13932
CLV	ARI	LG4	29001	30000	0.0657652120467117	589	1284	19524	17196
CLV	AUR	LG4	29001	30000	0.0620003899395593	604	1272	20516	16204
ARI	AUR	LG4	29001	30000	0.0191917912338484	698	606	31576	17384
LON	PAR	LG4	29001	30000	0.0260500344273582	747	908	34856	14104
LON	PUN-Y	LG4	29001	30000	0.0129483894582723	765	566	43712	17488
LON	PUN-R	LG4	29001	30000	0.006021467841871	765	276	45836	15364
LON	GRA	LG4	29001	30000	0.0108012568735271	294	110	10184	38776
LON	CAL	LG4	29001	30000	0.0067065621130829	765	260	38768	10192
LON	CLV	LG4	29001	30000	0.0544036334913112	613	1102	20256	16464
LON	ARI	LG4	29001	30000	0.0373615674820494	740	1228	32868	16092
LON	AUR	LG4	29001	30000	0.0335269910433309	720	1108	33048	15912
PAR	PUN-Y	LG4	29001	30000	0.0241203178206583	747	1020	42288	18912
PAR	PUN-R	LG4	29001	30000	0.0275804815053961	747	1196	43364	17836
PAR	GRA	LG4	29001	30000	0.0076495132127955	286	66	8628	40332
PAR	CAL	LG4	29001	30000	0.0263332595707014	747	952	36152	12808
PAR	CLV	LG4	29001	30000	0.0586570368924458	605	1202	20492	16228
PAR	ARI	LG4	29001	30000	0.016208554172316	722	526	32452	16508
PAR	AUR	LG4	29001	30000	0.0191729775213367	703	638	33276	15684
PUN-Y	PUN-R	LG4	29001	30000	0.0139275766016713	765	760	54568	21932
LON	PAR	LG4	30001	31000	0.0374319817447779	808	1706	45576	11064
LON	PUN-Y	LG4	30001	31000	0.0151682833148883	882	932	61444	9356
LON	PUN-R	LG4	30001	31000	0.0045370899168728	882	286	63036	7764
LON	GRA	LG4	30001	31000	0.0482929991356957	728	1788	37024	19616
LON	CAL	LG4	30001	31000	0.009461366088472	882	456	48196	8444
LON	CLV	LG4	30001	31000	0.035948905109489	756	1182	32880	9600
LON	ARI	LG4	30001	31000	0.0407668763815677	847	1918	47048	9592
LON	AUR	LG4	30001	31000	0.0325649959796301	829	1458	44772	11868
PAR	PUN-Y	LG4	30001	31000	0.0337938893241222	808	1898	56164	14636
PAR	PUN-R	LG4	30001	31000	0.0360011173964662	808	2062	57276	13524
PAR	GRA	LG4	30001	31000	0.0477230534017691	709	1748	36628	20012
PAR	CAL	LG4	30001	31000	0.0405647691618108	808	1810	44620	12020
PAR	CLV	LG4	30001	31000	0.0446988105895894	712	1398	31276	11204
PAR	ARI	LG4	30001	31000	0.0218708240534521	801	982	44900	11740
PAR	AUR	LG4	30001	31000	0.0369541384980814	801	1618	43784	12856
PUN-Y	PUN-R	LG4	30001	31000	0.0129156999226604	882	1002	77580	10920
PUN-Y	GRA	LG4	30001	31000	0.0485415568441398	728	2210	45528	25272
PUN-Y	CAL	LG4	30001	31000	0.019873349501482	882	1180	59376	11424
PUN-Y	CLV	LG4	30001	31000	0.039223494275759	756	1576	40180	12920
PUN-Y	ARI	LG4	30001	31000	0.0341431610733649	847	1990	58284	12516
PUN-Y	AUR	LG4	30001	31000	0.0324080802208981	829	1784	55048	15752
PUN-R	GRA	LG4	30001	31000	0.046761658031088	728	2166	46320	24480
PUN-R	CAL	LG4	30001	31000	0.0090155304027375	882	548	60784	10016
PUN-R	CLV	LG4	30001	31000	0.0345261121856866	756	1428	41360	11740
PUN-R	ARI	LG4	30001	31000	0.038771941623512	847	2306	59476	11324
PUN-R	AUR	LG4	30001	31000	0.0301063829787234	829	1698	56400	14400
GRA	CAL	LG4	30001	31000	0.0519122671663176	728	1884	36292	20348
GRA	CLV	LG4	30001	31000	0.0566604995374653	639	1470	25944	16536
GRA	ARI	LG4	30001	31000	0.046652696592037	719	1692	36268	20372
GRA	AUR	LG4	30001	31000	0.0456499604027604	710	1614	35356	21284
CAL	CLV	LG4	30001	31000	0.0404681857801021	756	1300	32124	10356
CAL	ARI	LG4	30001	31000	0.0449148843299869	847	2058	45820	10820
CAL	AUR	LG4	30001	31000	0.0370217451142306	829	1614	43596	13044
CLV	ARI	LG4	30001	31000	0.0444789081885856	735	1434	32240	10240
CLV	AUR	LG4	30001	31000	0.0521480331262939	734	1612	30912	11568
ARI	AUR	LG4	30001	31000	0.0350885115606936	809	1554	44288	12352
LON	GRA	LG4	31001	32000	0.0517559363713209	865	2694	52052	4524
LON	PUN-R	LG4	31001	32000	0.0027678571428571	882	186	67200	3520
PAR	AUR	LG4	31001	32000	0.035061873895109	881	1904	54304	2272
PUN-Y	PUN-R	LG4	31001	32000	0.0151815980629539	882	1254	82600	5800
PUN-Y	GRA	LG4	31001	32000	0.0430200843044879	865	2776	64528	6192
PUN-Y	CAL	LG4	31001	32000	0.0185531555448292	882	1230	66296	4424
PUN-Y	CLV	LG4	31001	32000	0.0524220305242203	882	2528	48224	4816
PUN-Y	ARI	LG4	31001	32000	0.0299889611186066	882	1956	65224	5496
LON	CAL	LG4	31001	32000	0.0063732029049948	882	344	53976	2600
LON	CLV	LG4	31001	32000	0.0498978549540347	882	1954	39160	3272
PUN-R	CAL	LG4	31001	32000	0.0064026909005074	882	434	67784	2936
PUN-R	CLV	LG4	31001	32000	0.0501541957474436	882	2472	49288	3752
PUN-R	ARI	LG4	31001	32000	0.0369811776061776	882	2452	66304	4416
PUN-R	AUR	LG4	31001	32000	0.0106338985053464	882	720	67708	3012
GRA	CAL	LG4	31001	32000	0.0534858967535923	865	2814	52612	3964
GRA	CLV	LG4	31001	32000	0.0655479811221814	865	2500	38140	4292
PAR	CLV	LG4	31001	32000	0.0606904231625835	881	2398	39512	2920
PAR	ARI	LG4	31001	32000	0.0201108531196165	881	1074	53404	3172
PUN-Y	AUR	LG4	31001	32000	0.019858755357035	882	1316	66268	4452
PUN-R	GRA	LG4	31001	32000	0.0515353560068509	865	3370	65392	5328
CLV	AUR	LG4	31001	32000	0.0491902834008097	882	1944	39520	2912
ARI	AUR	LG4	31001	32000	0.0345216606498194	882	1836	53184	3392
CAL	CLV	LG4	31001	32000	0.0509512244484922	882	2014	39528	2904
CAL	ARI	LG4	31001	32000	0.0385048412519702	882	2052	53292	3284
CAL	AUR	LG4	31001	32000	0.0111045742020885	882	604	54392	2184
CLV	ARI	LG4	31001	32000	0.0570615623383342	882	2206	38660	3772
GRA	ARI	LG4	31001	32000	0.0353744628606507	865	1844	52128	4448
GRA	AUR	LG4	31001	32000	0.0471072490281271	865	2472	52476	4100
LON	ARI	LG4	31001	32000	0.036937414759812	882	1950	52792	3784
LON	AUR	LG4	31001	32000	0.0105712166172106	882	570	53920	2656
PAR	PUN-Y	LG4	31001	32000	0.0312989516809254	881	2078	66392	4328
PAR	PUN-R	LG4	31001	32000	0.0369549805033676	881	2502	67704	3016
PAR	GRA	LG4	31001	32000	0.0330656768426634	865	1746	52804	3772
PAR	CAL	LG4	31001	32000	0.03913491246138	881	2128	54376	2200
LON	PAR	LG4	31001	32000	0.0368968077208611	881	1988	53880	2696
LON	PUN-Y	LG4	31001	32000	0.0147577896786757	882	970	65728	4992
PUN-Y	GRA	LG4	32001	33000	0.0353490720868577	847	2240	63368	5192
PUN-Y	CAL	LG4	32001	33000	0.0075013722022321	855	492	65588	2972
CAL	CLV	LG4	32001	33000	0.0534037558685446	835	1820	34080	7056
CAL	ARI	LG4	32001	33000	0.0243734718826405	847	1276	52352	2496
GRA	ARI	LG4	32001	33000	0.0322073841319717	847	1640	50920	3928
GRA	AUR	LG4	32001	33000	0.0341136855608113	846	1702	49892	4956
LON	PUN-R	LG4	32001	33000	0.0097824687862015	854	608	62152	6408
LON	GRA	LG4	32001	33000	0.0384647199933824	846	1860	48356	6492
LON	CAL	LG4	32001	33000	0.0098998091603053	854	498	50304	4544
LON	CLV	LG4	32001	33000	0.0569189648888348	834	1874	32924	8212
LON	ARI	LG4	32001	33000	0.0271518432996257	846	1364	50236	4612
LON	AUR	LG4	32001	33000	0.0085158150851581	848	420	49320	5528
PUN-Y	CLV	LG4	32001	33000	0.0529125304364113	835	2260	42712	8708
PUN-Y	ARI	LG4	32001	33000	0.0200243457090687	847	1316	65720	2840
PUN-Y	AUR	LG4	32001	33000	0.0113481334490884	849	732	64504	4056
PUN-R	GRA	LG4	32001	33000	0.0369009584664536	847	2310	62600	5960
PUN-R	CAL	LG4	32001	33000	0.0053723601333827	855	348	64776	3784
PUN-R	CLV	LG4	32001	33000	0.0545196403218173	835	2304	42260	9160
PAR	PUN-Y	LG4	32001	33000	0.0219433836455113	854	1448	65988	2572
PAR	PUN-R	LG4	32001	33000	0.0231694592769901	854	1510	65172	3388
PAR	GRA	LG4	32001	33000	0.0314175339009776	846	1594	50736	4112
PAR	CAL	LG4	32001	33000	0.0231189735023916	854	1218	52684	2164
PAR	CLV	LG4	32001	33000	0.0523909985935302	834	1788	34128	7008
PAR	ARI	LG4	32001	33000	0.0217853347502656	846	1148	52696	2152
PAR	AUR	LG4	32001	33000	0.0186345008891981	848	964	51732	3116
PUN-Y	PUN-R	LG4	32001	33000	0.0053951517540402	855	438	81184	4516
LON	PAR	LG4	32001	33000	0.0222512054383052	853	1126	50604	4244
LON	PUN-Y	LG4	32001	33000	0.0110828834550651	854	698	62980	5580
PUN-R	ARI	LG4	32001	33000	0.0226558165341224	847	1470	64884	3676
PUN-R	AUR	LG4	32001	33000	0.010420590081607	849	664	63720	4840
GRA	CAL	LG4	32001	33000	0.0367150908946574	847	1850	50388	4460
GRA	CLV	LG4	32001	33000	0.063182811361981	835	2082	32952	8184
CAL	AUR	LG4	32001	33000	0.0111310033470849	849	572	51388	3460
CLV	ARI	LG4	32001	33000	0.0554195804195804	835	1902	34320	6816
CLV	AUR	LG4	32001	33000	0.0533246722569977	835	1806	33868	7268
ARI	AUR	LG4	32001	33000	0.0231606577626804	846	1200	51812	3036
PAR	GRA	LG4	33001	34000	0.0132023828691032	856	656	49688	5480
PAR	CAL	LG4	33001	34000	0.0057211683227943	859	304	53136	2032
LON	PAR	LG4	33001	34000	0.0062438507530462	859	330	52852	2316
LON	PUN-Y	LG4	33001	34000	0.0031365313653136	859	204	65040	3920
GRA	CAL	LG4	33001	34000	0.0101010101010101	856	512	50688	4480
GRA	CLV	LG4	33001	34000	0.0201214882308276	856	742	36876	4500
CLV	AUR	LG4	33001	34000	0.0196858749867345	858	742	37692	3684
ARI	AUR	LG4	33001	34000	0.0092840283241542	858	472	50840	4328
GRA	ARI	LG4	33001	34000	0.0138285898054349	856	688	49752	5416
GRA	AUR	LG4	33001	34000	0.0120806464778385	855	592	49004	6164
CAL	CLV	LG4	33001	34000	0.0173413344182262	859	682	39328	2048
CAL	ARI	LG4	33001	34000	0.0066385033192516	859	352	53024	2144
CAL	AUR	LG4	33001	34000	0.0052436767427513	858	272	51872	3296
CLV	ARI	LG4	33001	34000	0.021116530040469	859	814	38548	2828
LON	PUN-R	LG4	33001	34000	0.0027093596059113	859	176	64960	4000
LON	GRA	LG4	33001	34000	0.0106214331008243	856	536	50464	4704
PAR	CLV	LG4	33001	34000	0.020462080397845	859	790	38608	2768
PAR	ARI	LG4	33001	34000	0.0092542815451962	859	482	52084	3084
PAR	AUR	LG4	33001	34000	0.0087250432321961	858	444	50888	4280
PUN-Y	PUN-R	LG4	33001	34000	0.0034474017743979	859	272	78900	7300
PUN-Y	GRA	LG4	33001	34000	0.0115329325666492	856	706	61216	7744
PUN-Y	CAL	LG4	33001	34000	0.0024173806609547	859	158	65360	3600
PUN-Y	CLV	LG4	33001	34000	0.0189846775551439	859	902	47512	4208
PUN-Y	ARI	LG4	33001	34000	0.0063374125874125	859	406	64064	4896
LON	CAL	LG4	33001	34000	0.0015228049324023	859	82	53848	1320
LON	CLV	LG4	33001	34000	0.0172695687717146	859	676	39144	2232
LON	ARI	LG4	33001	34000	0.0070913917330299	859	374	52740	2428
LON	AUR	LG4	33001	34000	0.0055327710283989	858	286	51692	3476
PAR	PUN-Y	LG4	33001	34000	0.0069500716823536	859	446	64172	4788
PAR	PUN-R	LG4	33001	34000	0.0069236526946107	859	444	64128	4832
PUN-Y	AUR	LG4	33001	34000	0.0066138411400089	858	414	62596	6364
PUN-R	GRA	LG4	33001	34000	0.0115254015933133	856	706	61256	7704
PUN-R	CAL	LG4	33001	34000	0.0021131936787945	859	138	65304	3656
PUN-R	CLV	LG4	33001	34000	0.0190102849435171	859	902	47448	4272
PUN-R	ARI	LG4	33001	34000	0.0077427411801436	859	496	64060	4900
PUN-R	AUR	LG4	33001	34000	0.0064204944739027	858	402	62612	6348
CAL	AUR	LG4	34001	35000	0.0066481994459833	947	384	57760	3168
CLV	ARI	LG4	34001	35000	0.0336398611241437	947	1434	42628	3068
GRA	ARI	LG4	34001	35000	0.0059511452494637	947	344	57804	3124
GRA	AUR	LG4	34001	35000	0.0069730144341398	947	400	57364	3564
CAL	CLV	LG4	34001	35000	0.0306151109446681	947	1308	42724	2972
CAL	ARI	LG4	34001	35000	0.0056427195155518	947	328	58128	2800
PUN-Y	GRA	LG4	34001	35000	0.0032414910858995	947	232	71572	4588
PUN-Y	CAL	LG4	34001	35000	0.0025023633431574	947	180	71932	4228
CLV	AUR	LG4	34001	35000	0.0347530456133723	947	1472	42356	3340
ARI	AUR	LG4	34001	35000	0.0093376839766731	947	538	57616	3312
PAR	PUN-Y	LG4	34001	35000	0.0055217489294568	947	392	70992	5168
PAR	PUN-R	LG4	34001	35000	0.0050724229273516	947	360	70972	5188
PAR	GRA	LG4	34001	35000	0.0058794708476237	947	336	57148	3780
PAR	CAL	LG4	34001	35000	0.0055690915419422	947	320	57460	3468
PAR	CLV	LG4	34001	35000	0.0337254529930746	947	1422	42164	3532
PAR	ARI	LG4	34001	35000	0.008336821543184	947	478	57336	3592
PAR	AUR	LG4	34001	35000	0.0080775444264943	947	460	56948	3980
PUN-Y	PUN-R	LG4	34001	35000	0.0027717685235262	947	246	88752	6448
LON	PAR	LG4	34001	35000	0.0057871984381536	947	332	57368	3560
LON	PUN-Y	LG4	34001	35000	0.0029269108546579	947	210	71748	4412
LON	PUN-R	LG4	34001	35000	0.0028157234457764	947	202	71740	4420
LON	GRA	LG4	34001	35000	0.0034616449736914	947	200	57776	3152
LON	CAL	LG4	34001	35000	0.0012372834753918	947	72	58192	2736
LON	CLV	LG4	34001	35000	0.0308751874062968	947	1318	42688	3008
LON	ARI	LG4	34001	35000	0.0060336505309612	947	350	58008	2920
LON	AUR	LG4	34001	35000	0.0060971385020439	947	352	57732	3196
PUN-Y	AUR	LG4	34001	35000	0.0065124635077475	947	464	71248	4912
PUN-R	GRA	LG4	34001	35000	0.0031305903398926	947	224	71552	4608
PUN-R	CAL	LG4	34001	35000	0.0026144517995216	947	188	71908	4252
PUN-R	CLV	LG4	34001	35000	0.031003937007874	947	1638	52832	4288
GRA	CAL	LG4	34001	35000	0.003039303723147	947	176	57908	3020
GRA	CLV	LG4	34001	35000	0.0307178473986264	947	1306	42516	3180
PUN-Y	CLV	LG4	34001	35000	0.0311623322465691	947	1644	52756	4364
PUN-Y	ARI	LG4	34001	35000	0.0045434273609098	947	326	71752	4408
PUN-R	ARI	LG4	34001	35000	0.0056035684415946	947	402	71740	4420
PUN-R	AUR	LG4	34001	35000	0.005023292361228	947	358	71268	4892
PUN-R	CAL	LG4	35001	36000	0.0033180905643542	928	238	71728	2752
PUN-R	CLV	LG4	35001	36000	0.030819774718398	904	1576	51136	4724
PUN-R	ARI	LG4	35001	36000	0.0068566290114089	928	488	71172	3308
PUN-R	AUR	LG4	35001	36000	0.0072964023123982	928	520	71268	3212
GRA	CAL	LG4	35001	36000	0.0042597045688766	928	248	58220	1364
GRA	CLV	LG4	35001	36000	0.0277938621887666	904	1152	41448	3240
PAR	CLV	LG4	35001	36000	0.0306271268838113	904	1260	41140	3548
PAR	ARI	LG4	35001	36000	0.0073986179939973	928	424	57308	2276
LON	PAR	LG4	35001	36000	0.0078915705286998	928	446	56516	3068
LON	PUN-Y	LG4	35001	36000	0.0043318233295583	928	306	70640	3840
LON	PUN-R	LG4	35001	36000	0.0042788680967594	928	300	70112	4368
LON	GRA	LG4	35001	36000	0.0056262747028623	928	320	56876	2708
LON	CLV	LG4	35001	36000	0.0314459247648902	904	1284	40832	3856
LON	CAL	LG4	35001	36000	0.0020306701211399	928	116	57124	2460
PAR	AUR	LG4	35001	36000	0.0097909407665505	928	562	57400	2184
PUN-Y	PUN-R	LG4	35001	36000	0.004823296069239	928	428	88736	4364
PUN-Y	GRA	LG4	35001	36000	0.0055558642146785	928	400	71996	2484
PUN-Y	CAL	LG4	35001	36000	0.0030698600586315	928	222	72316	2164
PUN-Y	CLV	LG4	35001	36000	0.0306431567500388	904	1578	51496	4364
PUN-Y	ARI	LG4	35001	36000	0.0060220809635329	928	432	71736	2744
GRA	ARI	LG4	35001	36000	0.0063742811612277	928	368	57732	1852
GRA	AUR	LG4	35001	36000	0.0082981813152617	928	480	57844	1740
CLV	AUR	LG4	35001	36000	0.0322081439210755	904	1332	41356	3332
ARI	AUR	LG4	35001	36000	0.008364570317923	928	482	57624	1960
PUN-Y	AUR	LG4	35001	36000	0.0091592427616926	928	658	71840	2640
PUN-R	GRA	LG4	35001	36000	0.0058230683090705	928	416	71440	3040
CAL	CLV	LG4	35001	36000	0.0298213599692662	904	1242	41648	3040
CAL	ARI	LG4	35001	36000	0.0062081810029661	928	360	57988	1596
CAL	AUR	LG4	35001	36000	0.0084022038567493	928	488	58080	1504
CLV	ARI	LG4	35001	36000	0.029622458857696	904	1224	41320	3368
LON	ARI	LG4	35001	36000	0.0073046792293034	928	414	56676	2908
LON	AUR	LG4	35001	36000	0.0083861874559548	928	476	56760	2824
PAR	PUN-Y	LG4	35001	36000	0.007558790593505	928	540	71440	3040
PAR	PUN-R	LG4	35001	36000	0.0077040298002031	928	546	70872	3608
PAR	GRA	LG4	35001	36000	0.0068159688412852	928	392	57512	2072
PAR	CAL	LG4	35001	36000	0.0066481994459833	928	384	57760	1824
LON	AUR	LG4	36001	37000	0.0048837378817698	936	268	54876	5220
LON	ARI	LG4	36001	37000	0.0039802065404475	936	222	55776	4320
CAL	CLV	LG4	36001	37000	0.0345714285714285	936	1452	42000	3072
